ID,Latitude,Longitude,Date,ARD_Tile,CU_LC08_001_Line_Y_30m,CU_LC08_001_Sample_X_30m,CU_LC08_001_SRB1,CU_LC08_001_SRB2,CU_LC08_001_SRB3,CU_LC08_001_SRB4,CU_LC08_001_SRB5,CU_LC08_001_SRB6,CU_LC08_001_SRB7,CU_LC08_001_PIXELQA,CU_LC08_001_PIXELQA_bitmask,CU_LC08_001_PIXELQA_Fill,CU_LC08_001_PIXELQA_Fill_Description,CU_LC08_001_PIXELQA_Clear,CU_LC08_001_PIXELQA_Clear_Description,CU_LC08_001_PIXELQA_Water,CU_LC08_001_PIXELQA_Water_Description,CU_LC08_001_PIXELQA_Cloud_Shadow,CU_LC08_001_PIXELQA_Cloud_Shadow_Description,CU_LC08_001_PIXELQA_Snow,CU_LC08_001_PIXELQA_Snow_Description,CU_LC08_001_PIXELQA_Cloud,CU_LC08_001_PIXELQA_Cloud_Description,CU_LC08_001_PIXELQA_Cloud_Confidence,CU_LC08_001_PIXELQA_Cloud_Confidence_Description,CU_LC08_001_PIXELQA_Cirrus_Confidence,CU_LC08_001_PIXELQA_Cirrus_Confidence_Description,CU_LC08_001_PIXELQA_Terrain_Occlusion,CU_LC08_001_PIXELQA_Terrain_Occlusion_Description,CU_LC08_001_PIXELQA_Unused,CU_LC08_001_PIXELQA_Unused_Description
WBAN23110,36.33333,-119.95,2018-05-18,h003v010,2390.0,259.0,0.1677,0.1915,0.2363,0.2522,0.2554,0.2828,0.3209,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-05-25,h003v010,2390.0,259.0,0.1021,0.1387,0.2227,0.2656,0.3048,0.3454,0.3878,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-05-27,h003v010,2390.0,259.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-06-03,h003v010,2390.0,259.0,0.1715,0.1942,0.2389,0.2583,0.2617,0.285,0.328,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-06-10,h003v010,2390.0,259.0,0.0939,0.1448,0.2193,0.2411,0.266,0.281,0.3127,416.0,0b00000000000000000000000110100000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b10,Medium,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-06-12,h003v010,2390.0,259.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-06-19,h003v010,2390.0,259.0,0.1721,0.1973,0.2399,0.2592,0.2617,0.2845,0.3256,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-06-26,h003v010,2390.0,259.0,0.0953,0.1453,0.2183,0.2414,0.25,0.2751,0.3131,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-06-28,h003v010,2390.0,259.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-07-05,h003v010,2390.0,259.0,0.1711,0.1954,0.239,0.2582,0.2612,0.2839,0.3254,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-07-12,h003v010,2390.0,259.0,0.0977,0.1461,0.2187,0.2395,0.2558,0.2764,0.2993,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-07-14,h003v010,2390.0,259.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-07-21,h003v010,2390.0,259.0,0.1373,0.1534,0.1842,0.197,0.2333,0.2141,0.2137,992.0,0b00000000000000000000001111100000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b11,High,0b11,High from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-07-28,h003v010,2390.0,259.0,0.094,0.1415,0.215,0.2401,0.2507,0.2781,0.3229,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-07-30,h003v010,2390.0,259.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-08-06,h003v010,2390.0,259.0,0.0997,0.1448,0.2164,0.2445,0.2583,0.2794,0.3242,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-08-13,h003v010,2390.0,259.0,0.0957,0.136,0.202,0.2286,0.254,0.275,0.3049,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-08-15,h003v010,2390.0,259.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-08-22,h003v010,2390.0,259.0,0.0896,0.1444,0.2205,0.2465,0.2562,0.2794,0.3158,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-08-29,h003v010,2390.0,259.0,0.0952,0.1471,0.2287,0.2555,0.2682,0.2983,0.3321,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-08-31,h003v010,2390.0,259.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-09-07,h003v010,2390.0,259.0,0.1663,0.19,0.2335,0.253,0.2579,0.2805,0.3164,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-09-14,h003v010,2390.0,259.0,0.098,0.1452,0.2144,0.2389,0.2474,0.2734,0.3069,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-09-16,h003v010,2390.0,259.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-09-23,h003v010,2390.0,259.0,0.1667,0.1895,0.2343,0.2523,0.2563,0.2827,0.3234,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23110,36.33333,-119.95,2018-09-30,h003v010,2390.0,259.0,0.0945,0.1462,0.2192,0.246,0.2541,0.2825,0.3145,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
WBAN23149,36.02944,-119.0625,2018-05-18,h003v010,4136.0,2538.0,0.0491,0.0622,0.0822,0.0927,0.1313,0.2171,0.1828,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
